观测日期,降雨量
2018/10/26,0.4
2018/10/27,0.12
2018/10/28,0.03
2018/10/29,1.51
2018/10/30,0.82
2018/10/31,0.19
2018/11/1,0.16
2018/11/2,0.06
2018/11/3,0
2018/11/4,0.76
2018/11/5,2.03
2018/11/6,1.75
2018/11/7,3.45
2018/11/8,1.06
2018/11/9,0.14
2018/11/10,0.11
2018/11/11,0.11
2018/11/12,0.65
2018/11/13,0.07
2018/11/14,0.46
2018/11/15,0.41
2018/11/16,2.39
2018/11/17,1.81
2018/11/18,2.08
2018/11/19,0.09
2018/11/20,0.02
2018/11/21,0
2018/11/22,0
2018/11/23,0.02
2018/11/24,0
2018/11/25,0
2018/11/26,0
2018/11/27,0
2018/11/28,0.02
2018/11/29,0
2018/11/30,0
2018/12/1,0
2018/12/2,0
2018/12/3,0
2018/12/4,0.04
2018/12/5,0
2018/12/6,0
2018/12/7,0
2018/12/8,0.51
2018/12/9,0
2018/12/10,0
2018/12/11,0
2018/12/12,0
2018/12/13,0
2018/12/14,0
2018/12/15,0
2018/12/16,0
2018/12/17,0
2018/12/18,0
2018/12/19,1.97
2018/12/20,0.09
2018/12/21,0.09
2018/12/22,0.28
2018/12/23,0
2018/12/24,0
2018/12/25,0
2018/12/26,0
2018/12/27,0
2018/12/28,0
2018/12/29,0
2018/12/30,0.11
2018/12/31,0
2019/1/1,0
2019/1/2,0
2019/1/3,0
2019/1/4,0
2019/1/5,0.13
2019/1/6,0
2019/1/7,0
2019/1/8,0
2019/1/9,0
2019/1/10,0
2019/1/11,0.05
2019/1/12,0
2019/1/13,0
2019/1/14,0
2019/1/15,0.14
2019/1/16,0
2019/1/17,0
2019/1/18,0
2019/1/19,0
2019/1/20,0
2019/1/21,0
2019/1/22,0
2019/1/23,0
2019/1/24,0
2019/1/25,0
2019/1/26,0
2019/1/27,0.01
2019/1/28,0
2019/1/29,0
2019/1/30,0.06
2019/1/31,0
2019/2/1,0
2019/2/2,0
2019/2/3,0.05
2019/2/4,0.11
2019/2/5,0
2019/2/6,0
2019/2/7,0
2019/2/8,0
2019/2/9,0
2019/2/10,0.41
2019/2/11,0.13
2019/2/12,0.1
2019/2/13,0.28
2019/2/14,0
2019/2/15,0
2019/2/16,0
2019/2/17,0.08
2019/2/18,0.6
2019/2/19,0.11
2019/2/20,0.09
2019/2/21,0.03
2019/2/22,0
2019/2/23,0
2019/2/24,1.11
2019/2/25,0.65
2019/2/26,2.41
2019/2/27,0.71
2019/2/28,0.11
2019/3/1,0.69
2019/3/2,0.07
2019/3/3,0.04
2019/3/4,0.04
2019/3/5,2.33
2019/3/6,3.02
2019/3/7,2.27
2019/3/8,0.82
2019/3/9,0.32
2019/3/10,0
2019/3/11,0
2019/3/12,0
2019/3/13,0
2019/3/14,0
2019/3/15,0.9
2019/3/16,2.32
2019/3/17,1.16
2019/3/18,0.4
2019/3/19,0
2019/3/20,0.06
2019/3/21,0.86
2019/3/22,0.06
2019/3/23,0.91
2019/3/24,1.1
2019/3/25,0.02
2019/3/26,0.27
2019/3/27,0.75
2019/3/28,0.35
2019/3/29,0
2019/3/30,0.01
2019/3/31,0.89
2019/4/1,1.91
2019/4/2,5.34
2019/4/3,2.47
2019/4/4,1.13
2019/4/5,2.17
2019/4/6,0.11
2019/4/7,0.02
2019/4/8,0.49
2019/4/9,0.04
2019/4/10,0.36
2019/4/11,0.02
2019/4/12,0
2019/4/13,0
2019/4/14,0.32
2019/4/15,0.64
2019/4/16,1.79
2019/4/17,0.62
2019/4/18,0
2019/4/19,0.32
2019/4/20,4.92
2019/4/21,5.53
2019/4/22,1.61
2019/4/23,0.72
2019/4/24,0.19
2019/4/25,0
2019/4/26,0
2019/4/27,0.16
2019/4/28,0.56
2019/4/29,3.32
2019/4/30,1.74
2019/5/1,2.9
2019/5/2,1.7
2019/5/3,2
2019/5/4,3.49
2019/5/5,5.77
2019/5/6,7.84
2019/5/7,4.32
2019/5/8,2.96
2019/5/9,1.03
2019/5/10,0.37
2019/5/11,2.22
2019/5/12,6.57
2019/5/13,5.31
2019/5/14,1.42
2019/5/15,3.02
2019/5/16,4.2
2019/5/17,3.51
2019/5/18,1.98
2019/5/19,9.24
2019/5/20,8.18
2019/5/21,3.25
2019/5/22,0.85
2019/5/23,3
2019/5/24,1.91
2019/5/25,2.66
2019/5/26,1.11
2019/5/27,6.15
2019/5/28,3.88
2019/5/29,4.37
2019/5/30,7.13
2019/5/31,8.41
2019/6/1,0.23
2019/6/2,0.06
2019/6/3,0.29
2019/6/4,4.22
2019/6/5,0.28
2019/6/6,4.94
2019/6/7,3.2
2019/6/8,15.49
2019/6/9,2.78
2019/6/10,5.1
2019/6/11,6.33
2019/6/12,0.78
2019/6/13,1.57
2019/6/14,5.17
2019/6/15,9.21
2019/6/16,11.86
2019/6/17,7.29
2019/6/18,1.85
2019/6/19,0.9
2019/6/20,0.02
2019/6/21,1.43
2019/6/22,5.95
2019/6/23,6.45
2019/6/24,2.15
2019/6/25,3.77
2019/6/26,6.2
2019/6/27,10.64
2019/6/28,6.42
2019/6/29,11.95
2019/6/30,7.16
2019/7/1,1.82
2019/7/2,8.99
2019/7/3,5.43
2019/7/4,0.31
2019/7/5,0.67
2019/7/6,13.82
2019/7/7,13.77
2019/7/8,1.71
2019/7/9,0.46
2019/7/10,2.28
2019/7/11,3.66
2019/7/12,1.07
2019/7/13,0.07
2019/7/14,6.17
2019/7/15,11.21
2019/7/16,5.12
2019/7/17,6.5
2019/7/18,14.7
2019/7/19,10.65
2019/7/20,3.48
2019/7/21,3.58
2019/7/22,6.31
2019/7/23,3.23
2019/7/24,9.71
2019/7/25,0.52
2019/7/26,0.14
2019/7/27,0.02
2019/7/28,0.83
2019/7/29,2.22
2019/7/30,1.65
2019/7/31,0.58
2019/8/1,0.07
2019/8/2,6.12
2019/8/3,0.23
2019/8/4,4.21
2019/8/5,18.65
2019/8/6,0.6
2019/8/7,0.6
2019/8/8,9.82
2019/8/9,0.66
2019/8/10,0.16
2019/8/11,0
2019/8/12,0
2019/8/13,2.87
2019/8/14,0.05
2019/8/15,0.02
2019/8/16,0
2019/8/17,1.2
2019/8/18,6.76
2019/8/19,9.33
2019/8/20,5.45
2019/8/21,6.72
2019/8/22,6.83
2019/8/23,0.19
2019/8/24,0.58
2019/8/25,0.09
2019/8/26,0.7
2019/8/27,7.93
2019/8/28,6.48
2019/8/29,1.24
2019/8/30,4.06
2019/8/31,2.18
2019/9/1,0.07
2019/9/2,2.26
2019/9/3,0.57
2019/9/4,1.76
2019/9/5,0.17
2019/9/6,3.14
2019/9/7,4.07
2019/9/8,1.24
2019/9/9,5.05
2019/9/10,2.91
2019/9/11,5.34
2019/9/12,7.17
2019/9/13,17.39
2019/9/14,3.33
2019/9/15,6.41
2019/9/16,4.1
2019/9/17,9.26
2019/9/18,5.74
2019/9/19,7.71
2019/9/20,8.27
2019/9/21,1.56
2019/9/22,0.15
2019/9/23,11.8
2019/9/24,5
2019/9/25,0.29
2019/9/26,0.11
2019/9/27,0.07
2019/9/28,0.15
2019/9/29,0.2
2019/9/30,2.15
2019/10/1,1.23
2019/10/2,0.87
