¹Û²âÈÕÆÚ,TP13,TP18,TP29
2018/8/20,1995.859577,3301.287441,
2018/8/21,2008.100085,3319.808201,
2018/8/22,2016.355427,3343.978548,
2018/8/23,2037.231155,3372.197623,
2018/8/24,2044.599288,3397.545211,
2018/8/25,2058.541741,3416.497354,
2018/8/26,2070.860826,3435.915,
2018/8/27,2082.907307,3454.01946,
2018/8/28,2099.812463,3478.573991,
2018/8/29,2103.351652,3495.006964,
2018/8/30,2121.700299,3509.223796,
2018/8/31,2129.283574,3536.088521,
2018/9/1,2149.278691,3562.304671,
2018/9/2,2157.248094,3579.242865,
2018/9/3,2168.502619,3598.164585,
2018/9/4,2186.987234,3616.764351,
2018/9/5,2191.905217,3634.049617,
2018/9/6,2211.675207,3656.536997,
2018/9/7,2225.282629,3674.420783,
2018/9/8,2233.361325,3683.515455,
2018/9/9,2239.423314,3704.633889,
2018/9/10,2253.943258,3725.421344,
2018/9/11,2266.067965,3744.513966,
2018/9/12,2283.981412,3768.12139,
2018/9/13,2285.768446,3777.682038,
2018/9/14,2300.069273,3800.30638,
2018/9/15,2311.700022,3821.064356,
2018/9/16,2324.175675,3838.72878,
2018/9/17,2336.232259,3857.947399,
2018/9/18,2340.425376,3872.133079,
2018/9/19,2356.162942,3896.460722,
2018/9/20,2363.774991,3908.851494,
2018/9/21,2378.979601,3930.620376,
2018/9/22,2384.243935,3940.914271,
2018/9/23,2394.481416,3956.910517,
2018/9/24,2408.416851,3977.417882,
2018/9/25,2414.584946,3991.46301,
2018/9/26,2427.923415,4010.265813,
2018/9/27,2436.771265,4025.667105,
2018/9/28,2442.792979,4038.430467,
2018/9/29,2457.025981,4060.088324,
2018/9/30,2463.825061,4072.962745,
2018/10/1,2476.09745,4091.985214,
2018/10/2,2484.084836,4105.883125,
2018/10/3,2488.273928,4115.640107,
2018/10/4,2500.920113,4135.100996,
2018/10/5,2513.688791,4156.192767,
2018/10/6,2524.053339,4170.034601,
2018/10/7,2532.727658,4185.466728,
2018/10/8,2542.444896,4199.276026,
2018/10/9,2544.041757,4207.250387,
2018/10/10,2553.01897,4223.783742,
2018/10/11,2565.624778,4235.384398,
2018/10/12,2574.312438,4256.936596,
2018/10/13,2583.939121,4267.649574,
2018/10/14,2594.749161,4280.706444,
2018/10/15,2605.536607,4299.306364,
2018/10/16,2613.687374,4311.634406,
2018/10/17,2623.913402,4325.922646,
2018/10/18,2627.714429,4336.713754,
2018/10/19,2631.751664,4341.156696,
2018/10/20,2645.506352,4363.081115,
2018/10/21,2650.819928,4374.380188,
2018/10/22,2660.12458,4384.095298,
2018/10/23,2667.95875,4397.318047,
2018/10/24,2679.828394,4416.763884,
2018/10/25,2690.346288,4429.505553,
2018/10/26,2699.043351,4442.55552,
2018/10/27,2708.621467,4457.432945,
2018/10/28,2721.073623,4474.401513,
2018/10/29,2730.648394,4488.604341,
2018/10/30,2742.672498,4508.451469,
2018/10/31,2752.999726,4521.950964,
2018/11/1,2757.545564,4536.961408,
2018/11/2,2773.822145,4548.500866,
2018/11/3,2783.092785,4569.547602,
2018/11/4,2793.876844,4585.164283,
2018/11/5,2800.788189,4596.311819,
2018/11/6,2805.155087,4602.367109,
2018/11/7,2820.310939,4624.777329,
2018/11/8,2828.701699,4637.029869,
2018/11/9,2838.18995,4650.096229,
2018/11/10,2848.553531,4670.607837,
2018/11/11,2852.419219,4674.601379,
2018/11/12,2863.45817,4690.546263,
2018/11/13,2872.027413,4703.924504,
2018/11/14,2878.351323,4713.263712,
2018/11/15,2885.209914,4719.658468,
2018/11/16,2896.358227,4736.430389,
2018/11/17,2902.494868,4745.416046,
2018/11/18,2910.090816,4758.036742,
2018/11/19,2919.04087,4769.332404,
2018/11/20,2932.887976,4786.969992,
2018/11/21,2940.017719,4791.192123,
2018/11/22,2938.44334,4798.439024,
2018/11/23,2950.803619,4812.906388,
2018/11/24,2968.107508,4837.800788,
2018/11/25,2965.178317,4831.492536,
2018/11/26,2980.44878,4855.908217,
2018/11/27,2980.603555,4853.213231,
2018/11/28,2992.367432,4873.286059,
2018/11/29,2995.524585,4874.594693,
2018/11/30,3002.694835,4887.814036,
2018/12/1,3008.824908,4891.235363,
2018/12/2,3020.722101,4907.352156,
2018/12/3,3022.378312,4907.553815,
2018/12/4,3033.708373,4927.397943,
2018/12/5,3040.891292,4938.192782,
2018/12/6,3047.208409,4935.013439,
2018/12/7,3055.046162,4948.954922,
2018/12/8,3061.276293,4961.808592,
2018/12/9,3069.242392,4964.670741,
2018/12/10,3078.01108,4983.192613,
2018/12/11,3081.112009,4988.281822,
2018/12/12,3089.629661,4995.725443,
2018/12/13,3094.352774,5010.243185,
2018/12/14,3105.137598,5016.071717,
2018/12/15,3104.49249,5015.831605,
2018/12/16,3116.151631,5030.162928,
2018/12/17,3120.524168,5033.411302,
2018/12/18,3124.817755,5040.274929,
2018/12/19,3130.43392,5044.504937,
2018/12/20,3143.536431,5063.445219,
2018/12/21,3145.26513,5063.463736,
2018/12/22,3146.302404,5064.428444,
2018/12/23,3157.884157,5079.386337,
2018/12/24,3165.901256,5088.312593,
2018/12/25,3166.639766,5085.784994,
2018/12/26,3172.184872,5095.167312,
2018/12/27,3177.421176,5101.378814,
2018/12/28,3178.450814,5101.757887,
2018/12/29,3184.264992,5107.000354,
2018/12/30,3194.097232,5120.813965,
2018/12/31,3200.92272,5132.746712,
2019/1/1,3201.329507,5129.062946,
2019/1/2,3215.571299,5147.479951,
2019/1/3,3221.320209,5155.513322,
2019/1/4,3223.153319,5160.824621,
2019/1/5,3236.189026,5177.255568,
2019/1/6,3240.529718,5184.63718,
2019/1/7,3244.701339,5187.235087,
2019/1/8,3249.363059,5193.51216,
