¹Û²âÈÕÆÚ,¦¤X,¦¤Y,¦¤H
2018/4/1,0.100000001,0.6,1.2
2018/4/2,0.300000002,1.1,2.9
2018/4/3,0.2,0.8,0.7
2018/4/4,0.2,0.9,0.2
2018/4/5,0.2,0.8,-1.1
2018/4/6,0.2,0.8,-2
2018/4/7,-0.099999999,3.6,2.8
2018/4/8,-0.199999999,5,4.8
2018/4/9,-0.3,7.1,8.2
2018/4/10,-0.3,8.8,7.9
2018/4/11,-0.599999999,6.1,4.2
2018/4/12,-0.8,5.8,4.1
2018/4/13,-0.899999999,5.6,4.1
2018/4/14,-0.5,7.6,7.3
2018/4/15,-0.3,8.5,8.9
2018/4/16,-1.3,9.2,7.5
2018/4/17,-1.699999999,10,7.6
2018/4/18,-1.199999999,10.5,7.7
2018/4/19,-1.099999999,11.1,7.8
2018/4/20,-0.8,11.6,7.9
2018/4/21,-1.199999999,11.5,9
2018/4/22,-1.199999999,11.7,9.6
2018/4/23,-1.399999999,12.6,9.4
2018/4/24,-1.499999998,13.4,9.7
2018/4/25,-1.699999999,13.3,9.3
2018/4/26,-1.899999999,13.8,9.7
2018/4/27,-2.199999999,15.3,11.8
2018/4/28,-2.1,14.8,11.9
2018/4/29,-2.199999999,15.4,13.4
2018/4/30,-1.8,15.1,10.6
2018/5/2,-2.1,15.7,12.5
2018/5/3,-1,17,13.9
2018/5/4,0,19.3,14
2018/5/5,-2.3,15.5,14.1
2018/5/6,-2.699999999,16.7,15.7
2018/5/7,-2.199999999,16.1,13.7
2018/5/8,-4.6,17.1,17.1
2018/5/9,-2.3,16.4,13.8
2018/5/10,-3.1,17,14
2018/5/11,-2.1,16.8,14
2018/5/12,-0.399999999,16,13
2018/5/13,-2.1,16.9,14
2018/5/14,-2.6,16.7,15
2018/5/15,-3.699999999,17,16
2018/5/16,-1.999999999,17.3,14.5
2018/5/17,-1.699999999,17.6,14.3
2018/5/18,-2.399999999,18.1,15.3
2018/5/19,-2.6,18.5,15.7
2018/5/20,-2.999999999,18.9,16.4
2018/5/21,-2.3,18.2,16.7
2018/5/23,-2.6,19.3,16.5
2018/5/24,-1.499999998,19.4,17.8
2018/5/25,-2.3,19.9,17.1
2018/5/27,-3.299999998,18.1,17.5
2018/5/28,-5.499999999,16.6,16.9
2018/5/29,-2.899999999,17.6,18.2
2018/5/30,-2.399999999,16.9,17.7
2018/5/31,-0.5,17,17
2018/6/1,-3.6,18.5,19.3
2018/6/2,-4.199999999,19.3,20.1
2018/6/3,-3.6,18.2,19
2018/6/4,-3.6,18,18.9
2018/6/5,-3.6,9.8,23.1
2018/6/6,-3.6,5.6,25.2
2018/6/7,-3.6,10.4,23.1
2018/6/8,-3.6,10.7,23.1
2018/6/9,-3.6,13.2,22.1
2018/6/10,-4.199999999,8.8,25.8
2018/6/11,-4.499999999,7.8,27.2
2018/6/12,-4.9,5.1,29.8
2018/6/13,-5.2,3.4,24.8
2018/6/14,-2.499999999,3.9,27
2018/6/15,-0.199999999,2.7,25.6
2018/6/16,1.400000001,2.3,26
2018/6/17,-3.799999999,4.5,29
2018/6/18,-7.599999999,6.4,32.7
2018/6/19,-3.9,5,30.5
2018/6/20,-3.9,5.2,34.3
2018/6/21,-4.4,6.1,32.2
2018/6/22,-4.7,7.8,33.4
2018/6/23,-4.4,5.7,31.6
2018/6/24,-4.4,5.5,31.3
2018/6/25,-4.6,6.5,33.3
2018/6/26,-4.499999999,5.9,33.4
2018/6/27,-5.299999999,7.5,32.6
2018/6/28,-5.599999999,8,32.3
2018/6/29,-4.7,6.9,32.7
2018/6/30,-3.699999999,6.6,32.8
2018/7/1,-5.2,7.8,33
2018/7/2,-5.4,8.2,33.2
2018/7/3,-5.499999999,8.3,35.2
2018/7/4,-5.599999999,8.3,35.6
2018/7/5,-5.9,7.9,35.3
2018/7/6,-6.099999999,7.7,35.4
2018/7/7,-5.7,8.4,36.4
2018/7/8,-5.599999999,8.6,37
2018/7/9,-5.299999999,9,37.8
2018/7/10,-5.099999998,9.3,38.5
