¹Û²âÈÕÆÚ,¦¤X,¦¤Y,¦¤H
2018/4/1,-1,3.1,-1.1
2018/4/2,-2.6,7.2,7.6
2018/4/3,0.5,12.2,11.7
2018/4/4,1.6,16.2,13.2
2018/4/5,3.699999999,20.7,16
2018/4/6,1.3,24.9,18.2
2018/4/7,-1.899999999,23.8,18.8
2018/4/8,-4.7,25.3,20.2
2018/4/9,-7.7,25.5,21.2
2018/4/10,-5.499999999,26.3,22.4
2018/4/11,-2.500000001,30.1,24.4
2018/4/12,-2.500000001,32.1,25.9
2018/4/13,-2.500000001,33.1,26.7
2018/4/14,-3.4,39,30.4
2018/4/15,-3.8,42.4,32.7
2018/4/16,-2,49.6,35.7
2018/4/17,-1.3,54.9,38.4
2018/4/18,-3.4,54.5,39.6
2018/4/19,-4.000000001,56.9,41.6
2018/4/20,-5.300000001,57.9,43.2
2018/4/21,-3.4,61.8,46.8
2018/4/22,-3.1,64.2,49.4
2018/4/23,-3.4,64.6,49.9
2018/4/24,-3.4,65.8,52.3
2018/4/25,-3.4,68.5,52.8
2018/4/26,-3.500000001,70.5,53.5
2018/4/27,-0.400000001,74.4,54.5
2018/4/28,-5.300000001,77.8,55.4
2018/4/29,-4.1,78.9,56.7
2018/4/30,-5.000000001,77.8,58.4
2018/5/2,-4.4,82.6,63.1
2018/5/3,-4.500000001,81.2,65.5
2018/5/4,-3.8,85.4,63.7
2018/5/5,-4.7,93.5,67.6
2018/5/6,-4.7,98.1,68.4
2018/5/7,-5.000000001,96.8,70.8
2018/5/8,-5.2,94,71.8
2018/5/9,-4.800000001,98.5,72.9
2018/5/10,-4.500000001,101,76.1
2018/5/11,-5.6,100.6,75.4
2018/5/12,-6.100000001,103.5,76.6
2018/5/13,-6.300000001,103.2,76.5
2018/5/14,-4.9,104.5,78
2018/5/15,-4.300000001,105,78.7
2018/5/16,-6.600000001,110,78.5
2018/5/17,-7.4,112.7,78.8
2018/5/18,-5.7,109.5,80.8
2018/5/19,-5.2,109.2,82
2018/5/20,-4.000000001,107.4,83.6
2018/5/21,-7.4,112.2,83.7
2018/5/23,-6.800000001,116.3,86.2
2018/5/24,-7.7,119.4,87.2
2018/5/25,-7.600000001,116.4,88.1
2018/5/27,-6.800000001,119.5,89.4
2018/5/28,-5.7,119.6,92
