????,©´X,©´Y,©´H
2018/4/1,-0.3,0.1,-0.2
2018/4/2,-0.8,15.3,8.3
2018/4/3,0.400000001,17.5,10.7
2018/4/4,0.900000001,18.6,11.8
2018/4/5,1.8,20.2,13.6
2018/4/6,2.500000001,27.5,15.1
2018/4/7,-2.1,30.5,17.6
2018/4/8,-4.000000001,35.6,19.6
2018/4/9,-7.2,39.6,21.9
2018/4/10,-5.7,44.1,24.1
2018/4/11,-3.500000001,48.8,28
2018/4/12,-4.000000001,53.1,31.1
2018/4/13,-4.199999999,55.2,32.7
2018/4/14,-4.1,59.9,34.1
2018/4/15,-4.1,63.3,35.6
2018/4/16,-3.500000001,62.4,36
2018/4/17,-3.199999999,63.6,37
2018/4/18,-4.999999999,71.1,38.7
2018/4/19,-5.7,75.4,40.1
2018/4/20,-6.9,81.3,41.7
2018/4/21,-6.299999999,82.1,48.4
2018/4/22,-6.600000001,85.4,52.6
2018/4/23,-6.299999999,85.7,50
2018/4/24,-6.299999999,88.4,51.2
2018/4/25,-5.7,88,51
2018/4/26,-5.1,87.9,52.9
2018/4/27,-4.1,89.9,54.4
2018/4/28,-4.999999999,91,49.9
2018/4/29,-4.9,93.8,51.4
2018/4/30,-5.4,92,50.9
2018/5/2,-5.7,95,52.9
2018/5/3,-5.999999999,95.4,53.5
2018/5/4,-3.199999999,99.6,54.3
2018/5/5,-4.499999999,101.2,54.6
2018/5/6,-3.9,105.7,57.8
2018/5/7,-3.500000001,103.7,54.9
2018/5/8,-0.599999999,104.7,58.2
2018/5/9,-5.1,102.6,53.5
2018/5/10,-7.5,104.8,54.4
2018/5/11,-5.1,104.9,55.7
2018/5/12,-6.5,105.8,54.9
2018/5/13,-5.2,105.3,53.5
2018/5/14,-3.8,104.7,55
2018/5/15,-2.399999999,104.1,55.1
2018/5/16,-4.199999999,107.4,53.7
2018/5/17,-4.4,108.7,53.1
2018/5/18,-4.000000001,108.2,55.1
2018/5/19,-3.9,108.6,55.8
2018/5/20,-3.6,108.5,57.2
2018/5/21,-4.4,112,57.3
2018/5/23,-3.8,113.3,59.4
2018/5/24,-3.8,114.9,60.2
2018/5/25,-4.300000001,116.8,59.8
2018/5/27,-4.9,115.9,59.6
2018/5/28,-6.100000001,117,59
2018/5/29,-5.499999999,115.8,59.2
2018/5/30,-6.299999999,115.6,60.5
2018/5/31,-8.099999999,119.3,61.4
2018/6/1,-4.1,118.5,60.3
2018/6/2,-3.000000001,119.9,60.2
2018/6/3,-4.1,119.9,59.5
2018/6/4,-4.1,120.6,59.1
2018/6/5,-4.499999999,122.5,60.5
2018/6/6,-4.7,123.8,61
2018/6/7,-4.800000001,124.9,61.7
2018/6/8,-4.9,126.1,62.3
2018/6/9,-4.999999999,127.2,63
2018/6/10,-5.1,125.8,62.2
