¹Û²âÈÕÆÚ,¦¤X,¦¤Y,¦¤H
2018/4/1,-0.899999999,1,1.4
2018/4/2,-2.200000001,9.6,3.4
2018/4/3,-1.6,12.5,5.9
2018/4/4,-1.700000001,14.4,7.9
2018/4/5,-1.399999999,16.8,10.2
2018/4/6,-1.3,18.9,12.4
2018/4/7,-5.300000001,22.4,9.4
2018/4/8,-7.2,25.2,9
2018/4/9,-10.1,28.3,7.3
2018/4/10,-12.5,31.2,10.3
2018/4/11,-7.100000001,30.7,13.3
2018/4/12,-5.799999999,32,14
2018/4/13,-5.1,32.6,14.4
2018/4/14,-9.5,39.2,16.3
2018/4/15,-6.5,41,17.6
2018/4/16,-9.5,44,18.4
2018/4/17,-9.5,46.4,19.5
2018/4/18,-11.1,47.3,20.4
2018/4/19,-11.9,48.9,21.4
2018/4/20,-13.1,50.1,22.4
2018/4/21,-12.7,54.1,24
2018/4/22,-13.1,56.7,25.3
2018/4/23,-13.1,57.4,25
2018/4/24,-13.4,59.8,25.8
2018/4/25,-13.6,60.6,26.8
2018/4/26,-13.7,61.5,27.3
2018/4/27,-13.9,62.9,28.6
2018/4/28,-15.8,67.2,28.8
2018/4/29,-17.2,71,29.8
2018/4/30,-16,69.6,30.7
2018/5/2,-17,72.5,32.5
2018/5/3,-16.9,73,33.4
2018/5/4,-18,77.2,36.8
2018/5/5,-18.9,79.1,34.2
2018/5/6,-19.6,81.3,34.8
2018/5/7,-19.4,81.9,36.3
2018/5/8,-19.8,84.2,34.9
2018/5/9,-19.5,83.8,36.5
2018/5/10,-18.8,86.6,36.8
2018/5/11,-20.8,86.9,38.8
2018/5/12,-21.9,89.4,40
2018/5/13,-21.5,89.7,39.4
2018/5/14,-21.2,91.7,40.7
2018/5/15,-20.8,92.8,41.1
2018/5/16,-22.8,95.4,41.2
2018/5/17,-23.6,97.2,41.5
2018/5/18,-22.9,97.7,42.9
2018/5/19,-22.9,98.8,43.8
2018/5/20,-22.5,99.6,45
2018/5/21,-24,100.2,44.7
2018/5/23,-24.3,104.6,46.4
2018/5/24,-24.9,106.3,46.9
2018/5/25,-24.5,104.4,46.5
2018/5/27,-24.8,107.5,46.7
2018/5/28,-24.6,109.1,48.1
2018/5/29,-26.2,110.2,49
2018/5/30,-27.9,113.2,52.2
2018/5/31,-25.5,116.3,54.7
2018/6/1,-27.2,114.6,51.8
2018/6/2,-26.8,115.3,51.6
2018/6/3,-27.5,116.8,52
2018/6/4,-27.6,117.9,52.1
2018/6/5,-28.3,120.4,52.6
2018/6/6,-28.7,122.2,52.9
2018/6/7,-28.5,121.7,53.3
2018/6/8,-28.6,122.3,53.7
2018/6/9,-28.5,122.3,54.1
2018/6/10,-30.3,126.7,55.9
2018/6/11,-31.1,128.9,57
2018/6/12,-32.4,132.2,58.5
