date,x,y,z,dis_xy,sum_xy
2018-04-01,-0.300000002,1.3,0.1,,
2018-04-02,-1.0,12.5,4.4,11.22185367919222,11.22185367919222
2018-04-03,2.799999998,16.5,8.7,5.51724568827599,16.73909936746821
2018-04-04,4.599999998,19.1,10.9,3.162277660168381,19.901377027636592
2018-04-05,7.399999998999999,22.4,14.2,4.327817002323455,24.22919402996005
2018-04-06,3.6999999989999997,25.3,17.0,4.701063709417264,28.93025773937731
2018-04-07,2.499999999,29.7,13.7,4.56070170039655,33.49095943977386
2018-04-08,0.099999999,33.3,13.5,4.326661530556786,37.817620970330644
2018-04-09,-1.700000001,37.3,11.8,4.386342439892262,42.203963410222904
2018-04-10,0.19999999899999998,41.1,14.9,4.248529157249604,46.45249256747251
2018-04-11,3.7999999989999997,40.1,19.1,3.7363083384538807,50.18880090592639
2018-04-12,4.7,41.6,20.4,1.7492855689680862,51.938086474894476
2018-04-13,5.2,45.3,21.1,3.7336309405188897,55.67171741541337
2018-04-14,4.499999999,50.0,23.0,4.751841748354003,60.42355916376737
2018-04-15,4.4,54.2,24.3,4.201190307496201,64.62474947126357
2018-04-16,5.899999997999999,56.4,25.4,2.6627053900121918,67.28745486127576
2018-04-17,6.599999999,59.6,26.6,3.2756678710455396,70.5631227323213
2018-04-18,5.799999999,63.5,29.1,3.981205847478875,74.54432857980018
2018-04-19,5.799999999,67.0,31.0,3.5,78.04432857980018
2018-04-20,5.4,70.7,33.2,3.7215588130782,81.76588739287838
2018-04-21,6.399999997999999,71.3,33.8,1.1661903772540705,82.93207777013245
2018-04-22,6.7,73.4,35.2,2.121320343842494,85.05339811397495
2018-04-23,7.099999999,75.5,35.4,2.1377558324560773,87.19115394643103
2018-04-24,7.699999997999999,78.6,36.6,3.1575306805793613,90.34868462701039
2018-04-25,7.699999997999999,80.0,37.7,1.4000000000000057,91.74868462701039
2018-04-26,8.0,82.3,38.6,2.319482701207316,94.06816732821771
2018-04-27,8.3,85.3,40.3,3.014962686336267,97.08313001455397
2018-04-28,7.599999999,88.6,39.6,3.373425558894102,100.45655557344807
2018-04-29,7.399999998999999,92.8,40.3,4.204759208325731,104.6613147817738
2018-04-30,8.399999999,91.3,42.6,1.8027756377319952,106.4640904195058
2018-05-01,8.799999999,93.0,43.8,1.7464249196573007,108.2105153391631
2018-05-02,9.199999999,94.7,45.0,1.7464249196573005,109.9569402588204
2018-05-03,9.899999999,91.9,46.8,2.88617393793236,112.84311419675275
2018-05-04,11.8,92.6,47.6,2.0248456740699985,114.86795987082274
2018-05-05,10.3,103.9,47.8,11.399122773266383,126.26708264408913
