date,x,y,z,dis_xy,sum_xy
2018-04-01,0.300000002,1.3,-0.6,,
2018-04-02,1.200000001,17.9,7.1,16.624379687621428,16.624379687621428
2018-04-03,-2.1,18.5,12.3,3.3541019672335546,19.97848165485498
2018-04-04,-3.6,19.4,14.6,1.7492855684535893,21.72776722330857
2018-04-05,-5.999999999,20.1,18.4,2.499999999040001,24.22776722234857
2018-04-06,-7.899999998999999,28.9,21.5,9.002777349240619,33.23054457158919
2018-04-07,-5.999999999,32.2,20.8,3.8078865529319574,37.038431124521146
2018-04-08,-5.999999999,38.2,22.0,6.0,43.038431124521146
2018-04-09,-4.999999999,42.8,22.3,4.707440918375922,47.74587204289707
2018-04-10,-4.499999999,48.1,28.1,5.32353266168247,53.06940470457954
2018-04-11,-8.8,47.7,31.4,4.318564577333539,57.38796928191308
2018-04-12,-10.4,49.8,33.2,2.6400757564888124,60.02804503840189
2018-04-13,-11.2,53.8,34.1,4.079215610874227,64.10726064927611
2018-04-14,-10.6,60.2,38.4,6.4280634719952845,70.5353241212714
2018-04-15,-10.7,65.4,41.0,5.20096144957834,75.73628557084974
2018-04-16,-11.1,65.0,41.1,0.5656854249492423,76.30197099579898
2018-04-17,-11.3,67.4,42.5,2.4083189157584646,78.71028991155745
2018-04-18,-12.5,72.6,45.3,5.3366656256505225,84.04695553720798
2018-04-19,-13.2,76.4,47.4,3.8639358172723424,87.91089135448033
2018-04-20,-14.1,80.9,49.9,4.589117562233507,92.50000891671384
2018-04-21,-14.7,84.2,54.1,3.3541019662496816,95.85411088296352
2018-04-22,-15.4,88.1,57.5,3.962322551231782,99.8164334341953
2018-04-23,-16.0,87.5,56.4,0.8485281374238528,100.66496157161916
2018-04-24,-16.9,86.8,54.7,1.1401754250991385,101.8051369967183
2018-04-25,-16.2,90.6,58.7,3.8639358172723286,105.66907281399064
2018-04-26,-16.1,92.7,60.7,2.102379604162872,107.77145241815352
2018-04-27,-15.4,97.6,64.2,4.949747468305825,112.72119988645935
2018-04-28,-17.6,96.5,60.9,2.459674775249767,115.18087466170911
2018-04-29,-18.6,99.0,61.1,2.692582403567252,117.87345706527637
2018-04-30,-18.3,97.2,62.7,1.8248287590894632,119.69828582436583
2018-05-01,-18.65,99.45,64.05000000000001,2.27705950734714,121.97534533171296
2018-05-02,-19.0,101.7,65.4,2.2770595073471402,124.2524048390601
2018-05-03,-19.1,102.7,67.1,1.0049875621120892,125.2573924011722
2018-05-04,-20.1,97.8,67.4,5.00099990002,130.2583923011922
2018-05-05,-19.0,109.9,68.1,12.149897118905995,142.40828942009819
2018-05-06,-18.9,112.6,68.5,2.701851217221248,145.11014063731943
2018-05-07,-19.8,111.8,69.9,1.2041594578792292,146.31430009519866
2018-05-08,-17.9,114.5,70.2,3.301514803843839,149.6158148990425
2018-05-09,-20.2,112.5,70.5,3.0479501308256345,152.66376502986813
2018-05-10,-20.8,113.5,73.1,1.1661903789690609,153.82995540883718
2018-05-11,-20.8,115.4,73.3,1.9000000000000057,155.72995540883718
2018-05-12,-21.7,116.6,74.4,1.49999999999999,157.22995540883718
2018-05-13,-21.8,116.1,74.0,0.5099019513592787,157.73985736019645
2018-05-14,-20.0,119.5,74.5,3.847076812334274,161.58693417253073
2018-05-15,-19.1,120.9,74.6,1.6643316977093279,163.25126587024005
2018-05-16,-21.1,122.5,75.1,2.561249694973136,165.81251556521318
2018-05-17,-21.6,124.0,75.4,1.5811388300841898,167.39365439529738
2018-05-18,-21.2,123.2,77.5,0.8944271909999143,168.2880815862973
2018-05-19,-21.2,123.5,78.7,0.29999999999999716,168.58808158629728
2018-05-20,-21.0,123.2,80.4,0.3605551275463962,168.94863671384368
2018-05-21,-22.3,127.1,80.3,4.110960958218885,173.05959767206258
2018-05-22,-22.0,129.85,81.5,2.766315238724611,175.8259129107872
2018-05-23,-21.7,132.6,82.7,2.766315238724611,178.5922281495118
2018-05-24,-21.9,135.8,83.6,3.206243908376296,181.79847205788812
2018-05-25,-23.8,132.6,83.9,3.7215588131856947,185.5200308710738
2018-05-26,-24.0,133.7,84.45,1.1180339887498891,186.6380648598237
2018-05-27,-24.2,134.8,85.0,1.118033988749917,187.7560988485736
