date,x,y,z,dis_xy,sum_xy
2018-04-01,-0.10000000099999999,0.8,0.7,,
2018-04-02,0.3,14.3,8.6,13.505924625911401,13.505924625911401
2018-04-03,-3.8,16.7,12.5,4.75078940808788,18.25671403399928
2018-04-04,-5.9,18.3,14.8,2.640075756488818,20.8967897904881
2018-04-05,-9.0,20.3,17.9,3.689173349139343,24.58596313962744
2018-04-06,-11.6,27.1,20.6,7.280109889280519,31.866073028907962
2018-04-07,-8.3,28.9,20.7,3.758989225842498,35.62506225475046
2018-04-08,-7.900000001,33.2,22.1,4.318564576245218,39.943626830995676
2018-04-09,-5.999999999,36.2,22.9,3.551056181983045,43.49468301297872
2018-04-10,-7.900000001,39.8,24.0,4.070626488343036,47.56530950132176
2018-04-11,-12.5,41.2,29.3,4.8083261111118505,52.37363561243361
2018-04-12,-13.8,43.4,32.4,2.5553864678361244,54.92902208026973
2018-04-13,-14.4,47.5,34.0,4.143669871020133,59.07269195128987
2018-04-14,-15.6,53.3,36.2,5.922837157984335,64.9955291092742
2018-04-15,-16.5,58.2,38.1,4.981967482832466,69.97749659210666
2018-04-16,-15.8,58.7,39.8,0.8602325267042621,70.83772911881093
2018-04-17,-15.9,61.4,41.6,2.7018512172212548,73.53958033603219
2018-04-18,-19.5,65.4,43.7,5.381449618829489,78.92102995486168
2018-04-19,-21.3,68.7,45.7,3.758989225842498,82.68001918070418
2018-04-20,-24.0,72.3,47.8,4.499999999999995,87.18001918070418
2018-04-21,-21.8,75.3,51.0,3.7202150475476543,90.90023422825183
2018-04-22,-22.0,78.6,53.7,3.306055050963305,94.20628927921514
2018-04-23,-23.2,78.6,53.5,1.1999999999999993,95.40628927921514
2018-04-24,-24.2,79.4,55.4,1.280624847486577,96.68691412670172
2018-04-25,-24.5,83.3,56.4,3.911521443121581,100.59843556982331
2018-04-26,-23.5,85.8,57.0,2.692582403567252,103.29101797339057
2018-04-27,-22.9,91.1,58.4,5.333854141237833,108.6248721146284
2018-04-28,-26.2,89.4,58.7,3.7121422386541125,112.33701435328251
2018-04-29,-28.0,91.8,59.9,2.9999999999999933,115.33701435328251
2018-04-30,-27.4,93.0,61.8,1.341640786499877,116.67865513978239
2018-05-01,-27.85,94.55,63.05,1.6140012391568952,118.29265637893928
2018-05-02,-28.3,96.1,64.3,1.6140012391568943,119.90665761809618
2018-05-03,-28.4,97.7,66.0,1.603121954188148,121.50977957228433
2018-05-04,-29.6,103.5,67.2,5.922837157984336,127.43261673026866
2018-05-05,-30.6,104.3,67.4,1.280624847486568,128.71324157775524
2018-05-06,-31.4,106.7,68.0,2.529822128134708,131.24306370588994
2018-05-07,-31.5,107.3,70.0,0.6082762530298166,131.85133995891977
2018-05-08,-32.2,109.7,70.4,2.500000000000006,134.35133995891977
2018-05-09,-32.5,109.5,71.1,0.3605551275463981,134.71189508646617
2018-05-10,-34.0,112.8,72.8,3.624913792078369,138.33680887854453
2018-05-11,-34.1,112.9,73.8,0.14142135623731653,138.47823023478185
2018-05-12,-34.1,113.4,75.0,0.5,138.97823023478185
2018-05-13,-34.8,113.4,75.0,0.6999999999999957,139.67823023478184
2018-05-14,-34.4,116.6,76.5,3.2249030993194086,142.90313333410126
2018-05-15,-34.5,118.2,77.3,1.6031219541881483,144.5062552882894
2018-05-16,-36.1,121.0,77.2,3.224903099319418,147.73115838760882
2018-05-17,-36.9,123.2,77.6,2.3409399821439267,150.07209836975275
2018-05-18,-36.4,123.1,79.0,0.5099019513592802,150.58200032111202
2018-05-19,-36.5,124.1,79.9,1.0049875621120892,151.5869878832241
2018-05-20,-36.3,124.5,81.1,0.4472135954999643,152.03420147872407
2018-05-21,-38.6,126.2,81.7,2.8600699292150233,154.8942714079391
2018-05-22,-38.55,128.6,82.95,2.400520776831552,157.29479218477064
2018-05-23,-38.5,131.0,84.2,2.4005207768315664,159.6953129616022
2018-05-24,-39.2,133.2,85.0,2.308679276123029,162.00399223772524
2018-05-25,-40.1,131.0,85.6,2.3769728648009316,164.38096510252618
2018-05-26,-40.5,133.1,86.55,2.1377558326431894,166.51872093516937
2018-05-27,-40.9,135.2,87.5,2.1377558326431894,168.65647676781256
2018-05-28,-42.8,137.4,90.4,2.906888370749739,171.5633651385623
2018-05-29,-42.1,137.0,89.1,0.8062257748298541,172.36959091339213
2018-05-30,-43.7,139.4,91.3,2.884441020371197,175.25403193376332
2018-05-31,-44.2,140.5,89.8,1.208304597359452,176.46233653112276
2018-06-01,-44.2,142.6,93.0,2.0999999999999943,178.56233653112275
2018-06-02,-44.4,144.2,93.9,1.6124515496597038,180.17478808078246
2018-06-03,-44.3,144.6,93.3,0.41231056256177195,180.58709864334423
2018-06-04,-44.3,145.6,93.5,1.0,181.58709864334423
2018-06-05,-45.9,150.1,96.1,4.775981574503822,186.36308021784805
2018-06-06,-46.7,152.8,97.5,2.816025568065762,189.1791057859138
2018-06-07,-47.1,151.7,98.6,1.1704699910719834,190.3495757769858
2018-06-08,-47.7,152.5,99.9,1.00000000000001,191.3495757769858
2018-06-09,-48.2,152.3,101.1,0.5385164807134462,191.88809225769924
2018-06-10,-48.9,157.1,101.6,4.850773134253944,196.7388653919532
2018-06-11,-49.5,159.4,102.5,2.376972864800954,199.11583825675416
2018-06-12,-50.1,162.9,103.2,3.551056180912941,202.6668944376671
2018-06-13,-50.6,165.4,104.0,2.5495097567963922,205.2164041944635
2018-06-14,-51.2,165.3,106.1,0.6082762530298225,205.82468044749334
2018-06-15,-52.2,168.4,108.7,3.257299494980461,209.0819799424738
2018-06-16,-53.0,169.9,111.1,1.6999999999999986,210.78197994247378
2018-06-17,-52.7,168.4,112.2,1.5297058540778348,212.31168579655161
2018-06-18,-53.2,169.7,116.0,1.392838827718396,213.70452462427002
2018-06-19,-54.5,173.0,114.2,3.5468295701936494,217.25135419446366
2018-06-20,-55.5,175.5,115.4,2.692582403567252,219.94393659803092
2018-06-21,-55.6,177.1,116.9,1.603121954188134,221.54705855221906
2018-06-22,-56.5,179.9,118.8,2.941088233970559,224.48814678618962
2018-06-23,-56.5,178.3,118.2,1.5999999999999943,226.0881467861896
2018-06-24,-56.9,178.9,118.9,0.7211102550927924,226.8092570412824
2018-06-25,-57.6,181.7,120.8,2.886173937932347,229.69543097921473
2018-06-26,-58.1,182.3,121.5,0.781024967590683,230.47645594680543
2018-06-27,-58.8,184.1,122.8,1.931320791582779,232.4077767383882
2018-06-28,-59.4,185.3,123.8,1.3416407864998898,233.7494175248881
2018-06-29,-59.5,187.2,124.0,1.9026297590440222,235.65204728393212
2018-06-30,-60.2,188.7,124.6,1.655294535724686,237.3073418196568
2018-07-01,-59.6,190.0,125.5,1.4317821063276464,238.73912392598447
2018-07-02,-59.6,191.4,126.3,1.4000000000000057,240.13912392598448
2018-07-03,-61.3,193.1,128.0,2.4041630560342506,242.54328698201874
2018-07-04,-62.1,194.6,129.3,1.700000000000002,244.24328698201873
2018-07-05,-61.6,195.1,129.1,0.7071067811865476,244.95039376320528
2018-07-06,-61.7,196.1,129.7,1.0049875621120892,245.95538132531738
2018-07-07,-62.7,197.8,129.7,1.9723082923316166,247.92768961764898
2018-07-08,-63.2,199.1,130.0,1.392838827718396,249.3205284453674
2018-07-09,-63.9,200.6,130.2,1.655294535724683,250.97582298109208
2018-07-10,-64.5,202.0,130.5,1.5231546211727873,252.49897760226486
2018-07-11,-64.7,203.4,133.5,1.414213562373101,253.91319116463796
2018-07-12,-65.1,204.8,135.2,1.4560219778561068,255.36921314249406
2018-07-13,-65.4,206.2,137.6,1.4317821063276155,256.80099524882166
2018-07-14,-66.5,207.5,137.1,1.702938636592645,258.5039338854143
2018-07-15,-67.2,208.8,138.1,1.4764823060233514,259.98041619143766
2018-07-16,-67.9,211.1,138.9,2.404163056034246,262.3845792474719
2018-07-17,-68.6,212.9,139.8,1.9313207915828032,264.31590003905467
2018-07-18,-68.4,214.3,140.0,1.4142135623730991,265.7301136014278
2018-07-19,-68.6,215.9,140.6,1.612451549659703,267.34256515108746
2018-07-20,-68.6,217.4,141.0,1.5,268.84256515108746
2018-07-21,-69.7,214.1,140.0,3.478505426185231,272.3210705772727
2018-07-22,-70.2,215.2,139.7,1.208304597359452,273.52937517463215
2018-07-23,-69.9,219.5,143.3,4.310452412450473,277.8398275870826
2018-07-24,-70.0,220.8,145.2,1.3038404810405406,279.14366806812313
2018-07-25,-70.9,221.2,145.7,0.9848857801796065,280.1285538483027
2018-07-26,-70.2,222.0,147.1,1.0630145812734753,281.1915684295762
2018-07-27,-72.1,225.1,147.0,3.635931792539559,284.82750022211576
2018-07-28,-72.7,227.0,147.7,1.9924858845171354,286.8199861066329
2018-07-29,-73.1,227.7,148.7,0.8062257748298408,287.6262118814627
2018-07-30,-73.6,229.0,149.6,1.3928388277184225,289.01905070918116
2018-07-31,-74.4,230.6,150.5,1.7888543819998317,290.807905091181
2018-08-01,-75.0,232.0,151.4,1.5231546211727847,292.3310597123538
2018-08-02,-74.8,231.2,151.4,0.8246211251235439,293.15568083747735
2018-08-03,-75.3,231.5,151.9,0.5830951894845359,293.7387760269619
2018-08-04,-75.5,233.5,152.1,2.0099751242241783,295.74875115118607
2018-08-05,-75.8,234.6,153.0,1.1401754250991318,296.8889265762852
2018-08-06,-76.4,236.0,153.9,1.5231546211727902,298.412081197458
2018-08-07,-76.8,237.2,154.8,1.2649110640673382,299.67699226152536
2018-08-08,-77.1,237.1,156.0,0.31622776601683344,299.9932200275422
2018-08-09,-77.4,237.6,157.1,0.5830951894845359,300.5763152170267
2018-08-10,-77.9,241.5,156.4,3.9319206502675055,304.5082358672942
2018-08-11,-78.3,243.7,156.6,2.236067977499777,306.744303844794
2018-08-12,-78.7,246.7,156.4,3.026549190084312,309.7708530348783
2018-08-13,-78.4,243.4,158.4,3.3136083051561607,313.08446134003447
2018-08-14,-78.4,243.2,159.3,0.20000000000001705,313.28446134003445
2018-08-15,-79.2,246.9,159.1,3.785498646149556,317.069959986184
2018-08-16,-79.6,248.6,159.5,1.746424919657285,318.8163849058413
2018-08-17,-80.2,251.3,159.6,2.7658633371878847,321.5822482430292
2018-08-18,-80.7,253.5,159.9,2.2561028345356844,323.8383510775649
2018-08-19,-81.2,255.9,160.1,2.451530134426258,326.28988121199114
2018-08-20,-81.0,251.5,163.0,4.404543109109054,330.6944243211002
2018-08-21,-81.1,250.5,164.6,1.0049875621120885,331.6994118832123
2018-08-22,-82.3,252.4,164.9,2.2472205054244294,333.9466323886367
2018-08-23,-82.9,252.8,165.9,0.7211102550928081,334.6677426437295
2018-08-24,-83.8,255.3,166.6,2.6570660511172814,337.3248086948468
2018-08-25,-83.1,258.8,165.0,3.56931365951495,340.89412235436174
2018-08-26,-83.2,261.8,164.6,3.001666203960727,343.89578855832247
2018-08-27,-84.4,262.9,166.6,1.6278820596099497,345.5236706179324
2018-08-28,-85.0,264.9,167.4,2.0880613017821084,347.6117319197145
2018-08-29,-84.8,261.7,168.1,3.206243908376268,350.81797582809077
2018-08-30,-85.0,261.1,168.9,0.6324555320336445,351.4504313601244
2018-08-31,-84.9,263.4,168.2,2.3021728866442217,353.7526042467686
2018-09-01,-84.9,264.2,168.3,0.8000000000000114,354.5526042467686
2018-09-02,-84.8,265.7,168.0,1.5033296378372913,356.0559338846059
2018-09-03,-86.2,265.7,170.4,1.4000000000000057,357.4559338846059
2018-09-04,-86.8,266.4,171.5,0.9219544457292764,358.37788833033517
