date,x,y,z,dis_xy,sum_xy
2018-04-01,0.19999999899999998,0.7,1.8,,
2018-04-02,0.399999999,1.7,4.7,1.019803902718557,1.019803902718557
2018-04-03,0.19999999899999998,1.8,-0.3,0.22360679774997902,1.243410700468536
2018-04-04,0.19999999899999998,2.2,-1.9,0.40000000000000013,1.643410700468536
2018-04-05,0.099999999,2.4,-5.2,0.22360679774997871,1.8670174982185148
2018-04-06,0.099999999,2.7,-2.6,0.30000000000000027,2.167017498218515
2018-04-07,0.399999999,3.3,0.6,0.6708203932499366,2.8378378914684514
2018-04-08,0.599999999,3.7,3.5,0.44721359549995826,3.2850514869684098
2018-04-09,0.899999999,4.2,6.6,0.5830951894845301,3.8681466764529397
2018-04-10,1.199999999,4.6,3.6,0.4999999999999996,4.368146676452939
2018-04-11,0.5,5.1,1.3,0.8602325258905292,5.2283792023434685
2018-04-12,0.3,5.6,1.7,0.5385164807134505,5.766895683056919
2018-04-13,0.19999999899999998,5.8,1.9,0.22360679819719273,5.990502481254112
2018-04-14,0.6999999990000001,6.0,3.0,0.5385164807134506,6.529018961967563
2018-04-15,0.899999999,6.2,3.7,0.28284271247461906,6.8118616744421825
2018-04-16,0.6999999990000001,7.8,3.2,1.6124515496597096,8.424313224101892
2018-04-17,0.6999999990000001,8.7,3.3,0.8999999999999995,9.324313224101893
2018-04-18,0.8,8.4,3.0,0.3162277663330647,9.640540990434957
2018-04-19,0.899999999,8.7,2.9,0.3162277657006092,9.956768756135567
2018-04-20,0.999999998,8.7,2.7,0.0999999989999999,10.056768755135566
2018-04-21,1.099999999,9.4,3.5,0.7071067813279699,10.763875536463537
2018-04-22,1.199999999,9.7,3.8,0.31622776601683694,11.080103302480374
2018-04-23,0.899999999,10.4,3.4,0.7615773105863918,11.841680613066766
2018-04-24,0.8,11.1,3.4,0.7071067810451255,12.54878739411189
2018-04-25,0.899999999,11.1,3.1,0.099999999,12.64878739311189
2018-04-26,1.099999999,11.5,2.7,0.4472135954999582,13.096000988611848
2018-04-27,2.6,11.8,4.3,1.5297058550584164,14.625706843670265
2018-04-28,1.099999999,12.8,4.5,1.802775638564045,16.428482482234312
2018-04-29,1.099999999,13.6,5.7,0.7999999999999989,17.228482482234313
2018-04-30,1.199999999,12.8,4.4,0.8062257748298539,18.034708257064167
2018-05-01,1.2499999995,13.350000000000001,4.9,0.5522680509046316,18.5869763079688
2018-05-02,1.3,13.9,5.4,0.5522680509046298,19.13924435887343
2018-05-03,1.699999999,14.0,3.3,0.41231056159162355,19.551554920465055
2018-05-04,2.3999999990000003,12.0,2.0,2.118962010041709,21.670516930506764
2018-05-05,1.499999998,14.7,6.3,2.8460498944677686,24.516566824974532
2018-05-06,2.3,15.3,7.5,1.0000000016000006,25.516566826574532
2018-05-07,1.399999999,15.1,6.3,0.9219544467054758,26.43852127328001
2018-05-08,0.8,15.4,8.0,0.67082039235551,27.10934166563552
2018-05-09,1.399999999,15.6,6.5,0.6324555310849923,27.741797196720512
2018-05-10,3.1,16.3,7.9,1.838477632009702,29.580274828730214
2018-05-11,1.6,16.7,6.4,1.552417469626002,31.132692298356215
2018-05-12,2.799999998,17.3,5.9,1.34164078471102,32.474333083067236
2018-05-13,1.6,17.2,6.8,1.2041594558861382,33.67849253895337
2018-05-14,1.199999999,17.2,7.4,0.400000001,34.07849253995337
2018-05-15,0.399999999,17.1,8.2,0.8062257748298548,34.88471831478323
2018-05-16,1.8,18.1,7.3,1.7204650542222588,36.60518336900549
2018-05-17,2.1,18.5,7.3,0.4999999999999989,37.10518336900549
2018-05-18,1.699999999,18.8,7.9,0.5000000008000004,37.60518336980549
2018-05-19,1.699999999,19.1,8.2,0.3000000000000007,37.905183369805485
2018-05-20,1.499999998,19.4,8.7,0.3605551281010968,38.26573849790658
2018-05-21,1.899999999,19.9,8.1,0.6403124243679799,38.90605092227456
2018-05-22,1.6999999985,19.95,8.649999999999999,0.20615528176595443,39.11220620404051
2018-05-23,1.499999998,20.0,9.2,0.20615528176595443,39.31836148580646
2018-05-24,1.499999998,20.2,9.9,0.1999999999999993,39.518361485806466
2018-05-25,1.9999999990000001,20.9,9.2,0.8602325272855004,40.37859401309196
2018-05-26,1.699999999,21.549999999999997,9.3,0.7158910531638164,41.09448506625578
2018-05-27,1.399999999,22.2,9.4,0.7158910531638196,41.8103761194196
2018-05-28,1.3,24.4,8.9,2.2022715545091156,44.01264767392872
2018-05-29,1.8,22.1,9.9,2.353720459187961,46.36636813311668
2018-05-30,3.1,22.6,10.6,1.392838827718412,47.759206960835094
2018-05-31,4.199999999,21.5,11.6,1.5556349179032989,49.31484187873839
2018-06-01,1.699999999,23.2,10.2,3.023243291566194,52.33808517030459
2018-06-02,0.999999998,23.5,10.0,0.7615773115055363,53.09966248181012
2018-06-03,1.399999999,22.8,9.9,0.8062257753259934,53.90588825713611
2018-06-04,1.3,22.6,9.8,0.22360679730276475,54.12949505443888
2018-06-05,1.8,23.6,11.1,1.118033988749895,55.24752904318877
2018-06-06,1.9999999990000001,24.0,11.7,0.4472135950527431,55.694742638241514
2018-06-07,1.899999999,24.4,10.6,0.4123105625617647,56.10705320080328
2018-06-08,1.9999999990000001,24.8,10.4,0.4123105625617681,56.51936376336505
2018-06-09,1.9999999990000001,25.2,9.8,0.3999999999999986,56.91936376336505
2018-06-10,1.199999999,25.3,12.1,0.8062257748298551,57.7255895381949
2018-06-11,0.8,25.5,13.0,0.4472135946055305,58.17280313280043
2018-06-12,0.19999999899999998,25.6,14.6,0.6082762540162162,58.78107938681665
