date,x,y,z,dis_xy,sum_xy
2018-04-01,-0.899999999,1.0,1.4,,
2018-04-02,-2.200000001,9.6,3.4,8.697700845924743,8.697700845924743
2018-04-03,-1.6,12.5,5.9,2.9614185791947754,11.659119425119519
2018-04-04,-1.700000001,14.4,7.9,1.902629759096604,13.561749184216122
2018-04-05,-1.399999999,16.8,10.2,2.4186773247376347,15.980426508953757
2018-04-06,-1.3,18.9,12.4,2.1023796041152965,18.082806113069054
2018-04-07,-5.300000001,22.4,9.4,5.315072907119902,23.397879020188956
2018-04-08,-7.2,25.2,9.0,3.3837848625762255,26.78166388276518
2018-04-09,-10.1,28.3,7.3,4.244997055358225,31.026660938123406
2018-04-10,-12.5,31.2,10.3,3.7643060449437415,34.79096698306715
2018-04-11,-7.100000001000001,30.7,13.3,5.423098744186758,40.21406572725391
2018-04-12,-5.799999999,32.0,14.0,1.8384776324992382,42.05254335975315
2018-04-13,-5.1,32.6,14.4,0.9219544449700331,42.974497804723185
2018-04-14,-9.5,39.2,16.3,7.932212806020777,50.906710610743964
2018-04-15,-6.5,41.0,17.6,3.4985711369071786,54.405281747651145
2018-04-16,-9.5,44.0,18.4,4.242640687119285,58.64792243477043
2018-04-17,-9.5,46.4,19.5,2.3999999999999986,61.04792243477043
2018-04-18,-11.1,47.3,20.4,1.8357559750685808,62.88367840983901
2018-04-19,-11.9,48.9,21.4,1.7888543819998333,64.67253279183885
2018-04-20,-13.1,50.1,22.4,1.6970562748477156,66.36958906668656
2018-04-21,-12.7,54.1,24.0,4.019950248448356,70.38953931513491
2018-04-22,-13.1,56.7,25.3,2.6305892875931827,73.0201286027281
2018-04-23,-13.1,57.4,25.0,0.6999999999999957,73.7201286027281
2018-04-24,-13.4,59.8,25.8,2.418677324489564,76.13880592721766
2018-04-25,-13.6,60.6,26.8,0.824621125123536,76.9634270523412
2018-04-26,-13.7,61.5,27.3,0.9055385138137402,77.86896556615494
2018-04-27,-13.9,62.9,28.6,1.4142135623730938,79.28317912852803
2018-04-28,-15.8,67.2,28.8,4.701063709417268,83.9842428379453
2018-04-29,-17.2,71.0,29.8,4.049691346263314,88.03393418420862
2018-04-30,-16.0,69.6,30.7,1.8439088914585815,89.8778430756672
2018-05-01,-16.5,71.05,31.6,1.5337861650177993,91.411629240685
2018-05-02,-17.0,72.5,32.5,1.5337861650177993,92.9454154057028
2018-05-03,-16.9,73.0,33.4,0.5099019513592787,93.45531735706209
2018-05-04,-18.0,77.2,36.8,4.341658669218486,97.79697602628057
2018-05-05,-18.9,79.1,34.2,2.1023796041628553,99.89935563044342
2018-05-06,-19.6,81.3,34.8,2.308679276123043,102.20803490656647
2018-05-07,-19.4,81.9,36.3,0.6324555320336849,102.84049043860016
