date,x,y,z,dis_xy,sum_xy
2018-04-01,3.8,6.5,8.8,,
2018-04-02,6.600000001000001,13.0,17.1,7.077428912083823,7.077428912083823
2018-04-03,5.200000001,24.5,18.8,11.584903970253702,18.662332882337523
2018-04-04,4.4,20.6,23.5,3.9812058476798193,22.643538730017344
2018-04-05,4.200000001,28.8,23.6,8.202438661739567,30.84597739175691
2018-04-06,3.900000002,33.0,28.4,4.210700654214212,35.056678045971125
2018-04-07,4.1,34.1,32.9,1.1180339883921253,36.17471203436325
2018-04-08,3.500000001,36.0,39.9,1.9924858842159947,38.16719791857925
2018-04-09,6.2,49.2,44.3,13.473306943530979,51.64050486211023
2018-04-10,7.000000001,55.4,47.9,6.251399843363081,57.89190470547331
2018-04-11,8.800000001,65.1,51.9,9.865596788841511,67.75750149431482
2018-04-12,8.2,63.9,57.2,1.3416407869470843,69.0991422812619
2018-04-13,6.4,63.8,61.0,1.8027756377319937,70.9019179189939
2018-04-14,5.200000001,63.1,65.6,1.3892443980811995,72.2911623170751
2018-04-15,3.7000000010000003,62.7,69.8,1.552417469626002,73.84357978670111
2018-04-16,2.3,76.4,81.3,13.771347065657741,87.61492685235885
2018-04-17,5.000000001,88.0,89.2,11.910079764863033,99.52500661722188
2018-04-18,7.7,100.8,86.9,13.08166656028963,112.60667317751151
2018-04-19,6.7,99.3,88.3,1.8027756377319946,114.40944881524351
2018-04-20,5.6,98.3,89.7,1.4866068747318508,115.89605568997536
2018-04-21,4.6,97.0,91.1,1.6401219466856702,117.53617763666102
2018-04-22,3.6,95.8,92.5,1.5620499351813326,119.09822757184236
2018-04-23,3.900000002,101.1,101.3,5.308483776107823,124.40671134795018
2018-04-24,6.300000001,114.5,100.9,13.613228860017013,138.01994020796718
2018-04-25,6.500000001,116.1,101.7,1.6124515496597043,139.6323917576269
2018-04-26,7.7,114.43333329999999,103.7,2.053722933233428,141.6861146908603
2018-04-27,7.100000001000001,117.7,105.6,3.3213116878259097,145.0074263786862
2018-04-28,6.4,121.1,109.2,3.471310991743601,148.4787373704298
2018-04-29,5.9,125.5,111.5,4.428317965096912,152.9070553355267
2018-04-30,7.800000001,131.4,115.4,6.198386887231231,159.10544222275794
2018-05-01,8.0000000005,137.3,119.35,5.903388857241243,165.0088310799992
2018-05-02,8.2,143.2,123.3,5.9033888572412145,170.91221993724042
2018-05-03,7.7,140.5,126.7,2.745906043549185,173.6581259807896
2018-05-04,7.7,144.1,131.3,3.5999999999999943,177.2581259807896
2018-05-05,9.5,153.6,133.1,9.669022701390249,186.92714868217985
2018-05-06,9.400000001,155.2,139.7,1.6031219541257558,188.5302706363056
2018-05-07,8.600000001,150.8,145.2,4.472135954999557,193.00240659130515
2018-05-08,7.500000002,157.7,144.4,6.987131027667914,199.98953761897306
2018-05-09,7.900000001,165.9,148.2,8.209750300660811,208.19928791963386
2018-05-10,9.2,166.2,149.5,1.3341664054382372,209.53345432507209
2018-05-11,8.2,165.6,153.5,1.166190378969057,210.69964470404113
2018-05-12,8.900000001,171.3,159.1,5.7428216062664,216.44246631030754
2018-05-13,8.600000001,174.4,167.6,3.1144823004794815,219.55694861078703
2018-05-14,10.4,180.2,174.5,6.072890579979175,225.6298391907662
2018-05-15,9.0,190.5,176.7,10.394710193170383,236.02454938393657
2018-05-16,13.2,193.2,183.8,4.9929950931279645,241.01754447706455
2018-05-17,14.6,199.7,187.4,6.649060083951716,247.66660456101627
2018-05-18,14.7,198.5,191.3,1.2041594578792183,248.8707640188955
2018-05-19,17.0,211.2,197.7,12.906587465321719,261.7773514842172
2018-05-20,19.2,224.9,203.7,13.87551800834839,275.65286949256557
2018-05-21,18.4,223.6,208.2,1.5264337522473848,277.17930324481296
2018-05-22,19.0,236.6,213.1,13.013838787997953,290.1931420328109
2018-05-23,17.2,242.9,216.2,6.552098900352477,296.74524093316336
2018-05-24,21.0,247.1,226.4,5.663920903402511,302.4091618365659
2018-05-25,21.1,243.5,232.9,3.6013886210738155,306.0105504576397
2018-05-26,22.75,254.2,237.65,10.82647218626639,316.8370226439061
2018-05-27,24.4,264.9,242.4,10.82647218626639,327.6634948301725
2018-05-28,25.0,268.0,242.0,3.1575306807694115,330.8210255109419
2018-05-29,23.5,268.4,251.3,1.5524174696259965,332.3734429805679
2018-05-30,27.1,281.3,259.1,13.392908571329862,345.7663515518978
2018-05-31,28.0,286.9,266.4,5.671860364994859,351.43821191689267
2018-06-01,30.6,296.1,274.0,9.56033472217374,360.99854663906643
2018-06-02,32.4,303.5,281.5,7.615773105863886,368.6143197449303
2018-06-03,30.2,309.3,287.6,6.203224967708339,374.81754471263866
