date,x,y,z,dis_xy,sum_xy
2018-04-01,0.9,-0.1,1.4,,
2018-04-02,0.8,1.0,2.0,1.104536101718726,1.104536101718726
2018-04-03,0.0,-0.3,0.3,1.5264337522473748,2.630969853966101
2018-04-04,-0.6,-2.0,0.6,1.8027756377319946,4.433745491698096
2018-04-05,0.3,-0.3,-2.1,1.9235384061671343,6.35728389786523
2018-04-06,0.3,0.1,-1.0,0.4,6.75728389786523
2018-04-07,0.6,0.1,-0.4,0.3,7.05728389786523
2018-04-08,-0.5,-1.2,0.5,1.7029386365926402,8.76022253445787
2018-04-09,0.2,0.0,0.2,1.3892443989449805,10.14946693340285
2018-04-10,0.5,0.7,-0.3,0.7615773105863908,10.911044243989242
2018-04-11,1.0,1.6,-0.7,1.0295630140987002,11.940607258087942
2018-04-12,-0.1,-0.5,-0.2,2.3706539182259396,14.31126117631388
2018-04-13,0.4,0.0,-0.1,0.7071067811865476,15.018367957500429
2018-04-14,0.1,-0.8,0.2,0.8544003745317532,15.872768332032182
2018-04-15,0.2,-1.0,0.4,0.22360679774997894,16.09637512978216
2018-04-16,-1.4,-2.5,1.9,2.1931712199461306,18.28954634972829
2018-04-17,-0.2,-0.9,2.8,2.0,20.28954634972829
2018-04-18,1.0,1.2,6.8,2.4186773244895647,22.708223674217855
2018-04-19,1.0,0.4,4.0,0.7999999999999999,23.508223674217856
2018-04-20,0.9,0.6,0.3,0.2236067977499789,23.731830471967836
2018-04-21,0.9,0.3,-2.9,0.3,24.031830471967837
2018-04-22,0.9,0.2,-6.3,0.09999999999999998,24.131830471967838
2018-04-23,-1.3,-3.8,0.0,4.565084884205331,28.696915356173168
2018-04-24,0.0,-0.3,-1.1,3.7336309405188937,32.430546296692064
2018-04-25,0.5,0.4,-0.5,0.8602325267042626,33.29077882339633
2018-04-26,1.3,0.8,-1.2,0.894427190999916,34.18520601439624
2018-04-27,0.5,-0.3,-0.3,1.3601470508735445,35.545353065269786
2018-04-28,-0.3,-0.7,0.1,0.8944271909999159,36.4397802562697
2018-04-29,-1.9,-1.0,0.7,1.6278820596099706,38.06766231587967
2018-04-30,0.2,0.1,-0.6,2.3706539182259396,40.43831623410561
2018-05-01,0.25,0.25,-0.25,0.15811388300841897,40.59643011711403
2018-05-02,0.3,0.4,0.1,0.15811388300841897,40.75454400012245
2018-05-03,-0.7,-1.7,-0.1,2.3259406699226015,43.08048467004505
2018-05-04,-1.2,-2.9,0.3,1.3,44.38048467004505
2018-05-05,-0.2,-0.9,-0.8,2.23606797749979,46.616552647544836
2018-05-06,-0.7,-1.3,0.8,0.6403124237432849,47.25686507128812
2018-05-07,-1.3,-2.9,0.3,1.7088007490635062,48.965665820351624
2018-05-08,-1.4,-0.3,0.3,2.6019223662515376,51.56758818660316
2018-05-09,-1.4,0.5,-0.2,0.8,52.36758818660316
2018-05-10,-1.1,-0.9,-0.4,1.4317821063276353,53.799370292930796
2018-05-11,-2.1,-2.4,1.2,1.8027756377319946,55.60214593066279
2018-05-12,1.1,-3.1,0.9,3.2756678708318403,58.87781380149463
2018-05-13,-2.9,-1.7,0.8,4.237924020083418,63.11573782157805
2018-05-14,-1.2,-2.0,2.5,1.7262676501632068,64.84200547174126
2018-05-15,-3.2,-0.5,2.1,2.5,67.34200547174126
2018-05-16,-1.7,-1.2,1.5,1.655294535724685,68.99730000746594
2018-05-17,-1.9,-0.8,0.3,0.4472135954999578,69.4445136029659
2018-05-18,-3.1,-4.0,1.3,3.417601498127013,72.86211510109291
2018-05-19,0.4,-2.1,3.2,3.9824615503479754,76.84457665144089
2018-05-20,-0.1,1.9,0.6,4.031128874149275,80.87570552559016
2018-05-21,-2.0,-1.0,1.1,3.4669871646719432,84.34269269026211
2018-05-22,-2.0,-0.1,-0.5,0.9,85.24269269026212
2018-05-23,-1.6,0.6,0.2,0.8062257748298549,86.04891846509197
2018-05-24,-1.4,0.9,0.6,0.36055512754639907,86.40947359263838
2018-05-25,-1.3,0.2,2.1,0.7071067811865475,87.11658037382493
2018-05-26,-1.1,0.8500000000000001,1.05,0.6800735254367722,87.7966538992617
2018-05-27,-0.9,1.5,0.0,0.6800735254367721,88.47672742469847
2018-05-28,-0.6,0.5,-0.8,1.044030650891055,89.52075807558953
2018-05-29,-1.4,0.3,1.0,0.824621125123532,90.34537920071305
2018-05-30,-1.2,0.8,1.1,0.5385164807134504,90.88389568142651
2018-05-31,0.1,1.6,2.1,1.5264337522473748,92.41032943367388
2018-06-01,-0.2,1.1,0.2,0.5830951894845301,92.9934246231584
2018-06-02,0.3,1.2,-0.2,0.5099019513592784,93.50332657451769
2018-06-03,-1.3,1.6,0.1,1.6492422502470645,95.15256882476476
2018-06-04,-0.2,1.9,-0.1,1.140175425099138,96.2927442498639
2018-06-05,-0.4,2.2,0.0,0.3605551275463992,96.6532993774103
2018-06-06,-1.8,-0.4,1.3,2.95296461204668,99.60626398945699
2018-06-07,-0.3,2.2,0.1,3.001666203960727,102.60793019341772
2018-06-08,-0.7,1.5,0.0,0.8062257748298551,103.41415596824757
2018-06-09,-1.7,-0.8,0.9,2.5079872407968904,105.92214320904446
2018-06-10,-3.3,-1.1,1.8,1.6278820596099706,107.55002526865444
2018-06-11,-4.6,-2.4,2.7,1.8384776310850233,109.38850289973946
2018-06-12,-0.8,1.7,-0.1,5.5901699437494745,114.97867284348894
2018-06-13,0.2,2.8,-0.8,1.4866068747318506,116.46527971822078
2018-06-14,-2.3,-0.1,-0.6,3.8288379438153295,120.29411766203611
