,date,sum_xy
1,2018-04-02,12.714165328483029
2,2018-04-03,24.386782858411774
3,2018-04-04,29.981423150691533
4,2018-04-05,39.5861095068408
5,2018-04-06,45.13047601709244
6,2018-04-07,51.03386487435061
7,2018-04-08,75.60315464837542
8,2018-04-09,80.07529060337501
9,2018-04-10,95.84488159363218
10,2018-04-11,104.44546296932998
11,2018-04-12,108.16702178251566
12,2018-04-13,111.97490833544762
13,2018-04-14,115.69646714863329
14,2018-04-15,121.25344474441324
15,2018-04-16,135.03350279944334
16,2018-04-17,148.21303238133663
17,2018-04-18,160.90358004485375
18,2018-04-19,162.9651328576626
19,2018-04-20,170.25485164510562
20,2018-04-21,174.90673298495082
21,2018-04-22,180.810121842209
22,2018-04-23,184.49793962512615
23,2018-04-24,199.0131041092097
24,2018-04-25,203.1724309778268
25,2018-04-26,207.33536263712654
26,2018-04-27,215.2201581322551
27,2018-04-28,223.10495362738368
28,2018-04-29,229.63028886781387
29,2018-04-30,232.9363439187772
30,2018-05-01,241.4782991984541
31,2018-05-02,250.0202544781309
32,2018-05-03,251.72319311472359
33,2018-05-04,258.9342956656516
34,2018-05-05,265.8393662663044
35,2018-05-06,269.22315112944216
36,2018-05-07,270.7852010646235
37,2018-05-08,277.220261281902
38,2018-05-09,288.812068733719
39,2018-05-10,290.6988649601303
40,2018-05-11,296.399742085626
41,2018-05-12,300.81788649250086
42,2018-05-13,308.320552685262
43,2018-05-14,315.40433698463187
44,2018-05-15,326.41569475740454
45,2018-05-16,334.12607736788505
46,2018-05-17,341.43702805845874
47,2018-05-18,347.8323388405865
48,2018-05-19,357.66493768321203
49,2018-05-20,373.60043265512934
50,2018-05-21,379.2652362704368
51,2018-05-22,396.5698599300255
52,2018-05-23,408.1322991190548
53,2018-05-24,412.38670859629127
54,2018-05-25,417.9652388686839
55,2018-05-26,435.83035851563835
56,2018-05-27,453.69547816259285
57,2018-05-28,458.87428111308253
58,2018-05-29,471.452436780747
59,2018-05-30,477.4632603516066
60,2018-05-31,484.71998137421724
61,2018-06-01,499.2781405985147
62,2018-06-02,510.07860355155515
63,2018-06-03,524.4051523334497
64,2018-06-04,531.822024989765
65,2018-06-05,542.6884871555299
66,2018-06-06,555.402652484013
67,2018-06-07,578.7970962688094
68,2018-06-08,587.6740326772782
69,2018-06-09,595.0523793755568
70,2018-06-10,614.4773632880341
71,2018-06-11,627.2092131143555
72,2018-06-12,643.1998353661629
73,2018-06-13,656.6370969919557
74,2018-06-14,677.1777883143039
75,2018-06-15,696.6282381805667
76,2018-06-16,729.1170054702008
77,2018-06-17,768.9798954808361
78,2018-06-18,810.1237893169814
79,2018-06-19,858.3172536041645
80,2018-06-20,917.0479951285146
81,2018-06-21,969.44036098462
82,2018-06-22,1017.9332470608271
83,2018-06-23,1068.4787710960964
84,2018-06-24,1114.8508532145433
