date,x,y,z,dis_xy,sum_xy
2018-04-01,3.6,4.9,7.3,,
2018-04-02,7.0,10.2,13.1,6.296824596572465,6.296824596572465
2018-04-03,5.3,14.8,15.0,4.904079934095693,11.200904530668158
2018-04-04,5.7,12.8,16.7,2.039607805437114,13.240512336105272
2018-04-05,7.7,21.9,16.8,9.317188417113822,22.557700753219095
2018-04-06,8.6,25.7,20.1,3.9051248379533274,26.46282559117242
2018-04-07,8.9,25.5,23.6,0.3605551275463991,26.82338071871882
2018-04-08,8.7,26.4,29.0,0.9219544457292875,27.745335164448107
2018-04-09,12.0,36.6,31.5,10.720541031123386,38.4658761955715
2018-04-10,13.8,42.0,34.0,5.692099788303082,44.15797598387458
2018-04-11,16.4,49.8,36.5,8.221921916437783,52.37989790031236
2018-04-12,15.0,43.7,41.1,6.258594091327534,58.638491991639896
2018-04-13,15.0,45.5,43.3,1.7999999999999972,60.43849199163989
2018-04-14,14.3,43.3,46.7,2.3086792761230415,62.74717126776294
2018-04-15,14.0,43.1,49.5,0.3605551275463972,63.107726395309335
2018-04-16,15.7,48.8,57.4,5.9481089431852165,69.05583533849455
2018-04-17,19.3,56.3,62.8,8.31925477431723,77.37509011281178
2018-04-18,21.8,64.7,62.3,8.764131445842201,86.13922155865397
2018-04-19,22.3,65.9,62.2,1.3000000000000027,87.43922155865397
2018-04-20,22.7,67.9,62.0,2.0396078054371136,89.47882936409108
2018-04-21,23.2,69.5,61.9,1.6763054614240156,91.1551348255151
2018-04-22,23.7,71.3,61.8,1.8681541692269377,93.02328899474205
2018-04-23,21.8,68.6,67.5,3.301514803843837,96.32480379858589
2018-04-24,23.6,75.1,68.3,6.7446274915669,103.06943129015279
2018-04-25,25.7,80.7,69.1,5.98080262172228,109.05023391187507
2018-04-26,27.4,80.3,70.9,1.7464249196572987,110.79665883153237
2018-04-27,26.6,81.3,72.7,1.280624847486568,112.07728367901893
2018-04-28,25.8,81.9,75.5,1.0000000000000056,113.07728367901893
2018-04-29,26.5,84.4,77.5,2.596150997149434,115.67343467616837
2018-04-30,28.6,91.6,78.8,7.499999999999989,123.17343467616836
2018-05-01,29.3,92.8,81.94999999999999,1.3892443989449825,124.56267907511334
2018-05-02,30.0,94.0,85.1,1.3892443989449825,125.95192347405832
2018-05-03,31.6,96.5,87.5,2.9681644159311666,128.92008788998947
2018-05-04,33.5,99.7,93.0,3.7215588131856805,132.64164670317516
2018-05-05,33.3,103.7,92.1,4.004996878900157,136.6466435820753
2018-05-06,33.2,104.2,97.0,0.5099019513592773,137.15654553343458
2018-05-07,33.2,102.5,100.0,1.7000000000000028,138.8565455334346
2018-05-08,32.0,105.7,100.0,3.417601498127016,142.27414703156163
2018-05-09,33.3,112.5,103.4,6.923149572268387,149.19729660383
2018-05-10,33.4,111.8,104.9,0.7071067811865505,149.90440338501656
2018-05-11,34.4,111.8,106.6,1.0,150.90440338501656
2018-05-12,34.8,113.3,108.1,1.552417469626002,152.45682085464256
2018-05-13,35.5,118.7,116.6,5.445181356024799,157.90200221066735
2018-05-14,35.6,121.6,122.4,2.9017236257093733,160.8037258363767
