date,x,y,z,dis_xy,sum_xy
2018-04-01,4.1,0.6,6.1,,
2018-04-02,5.2,1.3,8.8,1.3038404810405302,1.3038404810405302
2018-04-03,3.7,9.1,5.7,7.942921376924236,9.246761857964767
2018-04-04,2.1,-2.6,3.8,11.80889495253472,21.055656810499485
2018-04-05,0.9,0.0,-0.4,2.863564212655271,23.919221023154755
2018-04-06,0.1,-0.9,0.2,1.2041594578792296,25.123380481033983
2018-04-07,0.5,-2.8,-0.2,1.9416487838947598,27.065029264928743
2018-04-08,0.5,-1.4,4.7,1.4,28.46502926492874
2018-04-09,0.7,1.1,3.4,2.5079872407968904,30.97301650572563
2018-04-10,2.0,6.7,4.1,5.748912940721924,36.721929446447554
2018-04-11,2.8,10.7,3.8,4.079215610874227,40.80114505732178
2018-04-12,1.8,2.8,5.5,7.963039620647382,48.76418467796916
2018-04-13,0.0,-2.7,3.0,5.7870545184921145,54.551239196461275
2018-04-14,-1.4,-1.0,2.6,2.202271554554524,56.753510751015796
2018-04-15,-3.0,-2.9,1.2,2.483948469674844,59.23745922069064
2018-04-16,-1.4,-7.8,8.7,5.15460958754395,64.39206880823458
2018-04-17,1.0,-1.8,11.8,6.4621977685614045,70.854266576796
2018-04-18,2.7,4.2,8.2,6.236184731067546,77.09045130786353
2018-04-19,2.3,1.9,6.0,2.3345235059857505,79.42497481384929
2018-04-20,1.9,1.5,3.8,0.5656854249492379,79.99066023879853
2018-04-21,1.5,0.1,1.6,1.4560219778561034,81.44668221665464
2018-04-22,1.1,-7.8,-0.6,7.910120100226038,89.35680231688067
2018-04-23,-1.4,-12.4,4.4,5.23545604508337,94.59225836196404
2018-04-24,0.6,-0.8,1.2,11.77115117564973,106.36340953761378
2018-04-25,1.3,-0.8,-1.0,0.7000000000000001,107.06340953761378
2018-04-26,2.7,1.1,-0.2,2.360084744241189,109.42349428185497
2018-04-27,1.7,-2.7,1.8,3.9293765408777004,113.35287082273267
2018-04-28,0.1,-6.5,3.3,4.123105625617661,117.47597644835032
2018-04-29,0.1,-5.4,4.8,1.0999999999999996,118.57597644835032
2018-04-30,1.4,0.9,0.5,6.432728814430157,125.00870526278048
