,date,sum_xy
1,2017-03-14,0.8525362162395214
2,2017-03-15,1.607626277093192
3,2017-03-16,3.6386664047125366
4,2017-03-17,8.265376899221566
5,2017-03-18,10.731331075600359
6,2017-03-19,12.343366435014039
7,2017-03-20,12.97294168865732
8,2017-03-21,13.16515251041302
9,2017-03-22,13.35736333216871
10,2017-03-23,15.0937469303405
11,2017-03-24,15.84510902680265
12,2017-03-25,20.50598555380913
13,2017-03-26,22.475955350531923
14,2017-03-27,23.829771438484784
15,2017-03-28,23.98828957624826
16,2017-03-29,24.87723614382136
17,2017-03-30,27.245351005900478
18,2017-03-31,27.841112703225843
19,2017-04-01,30.08404337535996
20,2017-04-02,33.56226030361501
21,2017-04-03,34.40475197848321
22,2017-04-04,35.247243653351404
23,2017-04-05,36.08973532821961
24,2017-04-06,37.87427616552203
25,2017-04-07,38.43745730867226
26,2017-04-08,40.22331536574175
27,2017-04-09,40.46236858157453
28,2017-04-10,40.70142179740732
29,2017-04-11,40.94047501324011
30,2017-04-12,41.1795282290729
31,2017-04-13,41.41858144490568
32,2017-04-14,41.87773392502531
33,2017-04-15,45.7990593387088
34,2017-04-16,48.01302975404862
35,2017-04-17,49.825499064133616
36,2017-04-18,51.737721070073306
37,2017-04-19,52.90668171953933
38,2017-04-20,54.99997051949026
39,2017-04-21,56.93857543024438
40,2017-04-22,58.39428316189933
41,2017-04-23,59.2477103702774
42,2017-04-24,61.97982255684662
43,2017-04-25,64.9252559714734
44,2017-04-26,66.90429108990865
45,2017-04-27,67.9575987372748
46,2017-04-28,69.63647038216013
47,2017-04-29,73.11954904908684
48,2017-04-30,75.46098536041373
49,2017-05-01,75.6752585505239
50,2017-05-02,75.96165687454133
51,2017-05-03,77.14411025628627
52,2017-05-04,77.88894446602694
53,2017-05-05,79.18159484412612
54,2017-05-06,80.86348247414188
55,2017-05-07,82.3668563464704
56,2017-05-08,84.37376541267145
57,2017-05-09,86.73020722184052
58,2017-05-10,88.60606489234753
59,2017-05-11,89.64611296815941
60,2017-05-12,92.95363908294672
61,2017-05-13,95.60431522310415
62,2017-05-14,96.86446918195203
63,2017-05-15,98.70803312171654
64,2017-05-16,100.3063963470192
65,2017-05-17,104.1463996022262
66,2017-05-18,105.3441608472162
67,2017-05-19,105.80158406481671
68,2017-05-20,106.3342640813369
69,2017-05-21,109.01194535437901
70,2017-05-22,111.2009734492192
71,2017-05-23,112.01274312098579
72,2017-05-24,113.9125746924679
73,2017-05-25,116.2288909489406
74,2017-05-26,116.8691986874539
75,2017-05-27,118.5395618216256
76,2017-05-28,119.1969460319623
77,2017-05-29,122.22717259114891
78,2017-05-30,124.1999676894802
79,2017-05-31,125.48490859279059
80,2017-06-01,126.7698494961009
81,2017-06-02,129.086616640205
82,2017-06-03,130.39069370847972
83,2017-06-04,131.8492957789568
84,2017-06-05,132.0719816563715
85,2017-06-06,133.4650735413526
86,2017-06-07,135.1384921978758
87,2017-06-08,136.0853908196934
88,2017-06-09,137.5098745858346
89,2017-06-10,139.1540217811915
90,2017-06-11,140.1344997258695
91,2017-06-12,141.3701776774411
92,2017-06-13,142.3824627163506
93,2017-06-14,143.2969226662664
94,2017-06-15,143.8601277798795
95,2017-06-16,144.5196131853284
96,2017-06-17,147.4892387509511
97,2017-06-18,148.38780316155282
98,2017-06-19,150.19939362299817
99,2017-06-20,151.56015003029532
100,2017-06-21,153.6513219505352
101,2017-06-22,154.9119582977821
102,2017-06-23,157.7162173799641
103,2017-06-24,160.2063876552665
104,2017-06-25,160.63176513468918
105,2017-06-26,161.5267852461951
106,2017-06-27,163.84445649121668
107,2017-06-28,164.5466907826038
108,2017-06-29,165.34222393716118
109,2017-06-30,166.76572279560818
110,2017-07-01,167.3271022473954
111,2017-07-02,167.8884816991826
112,2017-07-03,168.4498611509698
113,2017-07-04,169.7505202146756
114,2017-07-05,170.8963806992024
115,2017-07-06,172.04224118372917
116,2017-07-07,174.70845797911548
117,2017-07-08,175.58019475131218
118,2017-07-09,178.3654209539751
119,2017-07-10,181.0374630569368
120,2017-07-11,183.5922929925686
121,2017-07-12,190.45542179800418
122,2017-07-13,193.7465159929491
123,2017-07-14,197.037610187894
124,2017-07-15,201.3916272985632
125,2017-07-16,208.6470127466286
126,2017-07-17,221.8772902191535
127,2017-07-18,243.7796079275605
128,2017-07-19,284.84204191533087
129,2017-07-20,342.5330485801483
130,2017-07-21,411.45298988163216
131,2017-07-22,482.21370488649916
132,2017-07-23,549.0065640332672
133,2017-07-24,614.5180716712388
134,2017-07-25,676.7104843998022
135,2017-07-26,731.4868008604773
136,2017-07-27,788.5154119605205
137,2017-07-28,838.0822091235408
138,2017-07-29,884.7602632817852
139,2017-07-30,929.2171215828392
140,2017-07-31,964.6251306485859
141,2017-08-01,1001.6277917691051
142,2017-08-02,1042.526132199984
143,2017-08-03,1074.116970254711
144,2017-08-04,1111.706812566165
145,2017-08-05,1147.709451413894
146,2017-08-06,1184.368740345896
147,2017-08-07,1220.453617732413
148,2017-08-08,1252.2044900038961
149,2017-08-09,1298.9304651569091
150,2017-08-10,1327.326843997353
151,2017-08-11,1355.723222837797
152,2017-08-12,1390.444237756719
153,2017-08-13,1429.248369315098
154,2017-08-14,1465.4050249817942
155,2017-08-15,1497.703730095157
156,2017-08-16,1533.0755276887198
157,2017-08-17,1567.294410209925
158,2017-08-18,1602.050697770595
159,2017-08-19,1640.4316514976722
160,2017-08-20,1683.98141395397
161,2017-08-21,1738.0230345648472
162,2017-08-22,1792.0646551757252
163,2017-08-23,1841.854982077644
