观测日期,测点,X向累计位移量（顺、逆坡）(mm)
2019-09-13,HP02-24H,18580.36
2019-09-14,HP02-24H,18578.561999999998
2019-09-15,HP02-24H,18578.435
2019-09-16,HP02-24H,18579.407
2019-09-17,HP02-24H,18580.104
2019-09-18,HP02-24H,18580.029
2019-09-19,HP02-24H,18581.005
2019-09-20,HP02-24H,18581.209
2019-09-21,HP02-24H,18581.092
2019-09-22,HP02-24H,18580.631999999998
2019-09-23,HP02-24H,18582.378
2019-09-24,HP02-24H,18582.093999999997
2019-09-25,HP02-24H,18582.16
2019-09-26,HP02-24H,18581.627
2019-09-27,HP02-24H,18582.427
2019-09-28,HP02-24H,18581.713
2019-09-29,HP02-24H,18582.575
2019-09-30,HP02-24H,18584.036
2019-10-01,HP02-24H,18580.398999999998
2019-10-02,HP02-24H,18582.053
2019-10-03,HP02-24H,18583.791
2019-10-04,HP02-24H,18585.718
2019-10-05,HP02-24H,18584.9
2019-10-06,HP02-24H,18584.858
2019-10-07,HP02-24H,18585.206000000002
2019-10-09,HP02-24H,18584.945
